acc_num	variable	density	area
00S-27016	dens_bcell_cd20neg_stroma	28.09063647587119	0.0711981019624787
00S-27016	dens_bcell_cd20neg_tumour	0	0.4817071758325707
00S-27016	dens_bcell_cd20pos_stroma	84.27190942761356	0.0711981019624787
00S-27016	dens_bcell_cd20pos_tumour	6.227849927323326	0.4817071758325707
00S-27016	dens_cd8tcell_foxp3pos_stroma	0	0.0711981019624787
00S-27016	dens_cd8tcell_foxp3pos_tumour	0	0.4817071758325707
00S-27016	dens_tcyto_stroma	477.5408200898102	0.0711981019624787
00S-27016	dens_tcyto_tumour	157.08021483359946	0.4817071758325707
00S-27016	dens_thelper_stroma	744.4018666105865	0.0711981019624787
00S-27016	dens_thelper_tumour	128.7088984980154	0.4817071758325707
00S-27016	dens_treg_stroma	294.9516829966475	0.0711981019624787
00S-27016	dens_treg_tumour	33.21519961239107	0.4817071758325707
00S-27219	dens_bcell_cd20neg_stroma	53.42188259713822	0.037437841999733996
00S-27219	dens_bcell_cd20neg_tumour	0	0.4642250035246239
00S-27219	dens_bcell_cd20pos_stroma	0	0.037437841999733996
00S-27219	dens_bcell_cd20pos_tumour	0	0.4642250035246239
00S-27219	dens_cd8tcell_foxp3pos_stroma	0	0.037437841999733996
00S-27219	dens_cd8tcell_foxp3pos_tumour	0	0.4642250035246239
00S-27219	dens_tcyto_stroma	17.807294199046073	0.037437841999733996
00S-27219	dens_tcyto_tumour	52.4171105575588	0.4642250035246239
00S-27219	dens_thelper_stroma	80.13282389570733	0.037437841999733996
00S-27219	dens_thelper_tumour	12.92476698679532	0.4642250035246239
00S-27219	dens_treg_stroma	26.71094129856911	0.037437841999733996
00S-27219	dens_treg_tumour	4.308255662265107	0.4642250035246239
01-31667	dens_bcell_cd20neg_stroma	30.761376896620618	0.13003319108383057
01-31667	dens_bcell_cd20neg_tumour	0	0.41038909086838543
01-31667	dens_bcell_cd20pos_stroma	0	0.13003319108383057
01-31667	dens_bcell_cd20pos_tumour	0	0.41038909086838543
01-31667	dens_cd8tcell_foxp3pos_stroma	0	0.13003319108383057
01-31667	dens_cd8tcell_foxp3pos_tumour	0	0.41038909086838543
01-31667	dens_tcyto_stroma	258.90825554655686	0.13003319108383057
01-31667	dens_tcyto_tumour	190.06353174484147	0.41038909086838543
01-31667	dens_thelper_stroma	23.071032672465464	0.13003319108383057
01-31667	dens_thelper_tumour	60.917798636167134	0.41038909086838543
01-31667	dens_treg_stroma	7.6903442241551545	0.13003319108383057
01-31667	dens_treg_tumour	0	0.41038909086838543
01S-11251	dens_bcell_cd20neg_stroma	285.02121488965366	0.1649000058406042
01S-11251	dens_bcell_cd20neg_tumour	18.82007180102363	0.3719433206210864
01S-11251	dens_bcell_cd20pos_stroma	448.7568064220079	0.1649000058406042
01S-11251	dens_bcell_cd20pos_tumour	2.6885816858605187	0.3719433206210864
01S-11251	dens_cd8tcell_foxp3pos_stroma	0	0.1649000058406042
01S-11251	dens_cd8tcell_foxp3pos_tumour	0	0.3719433206210864
01S-11251	dens_tcyto_stroma	758.0351459831215	0.1649000058406042
01S-11251	dens_tcyto_tumour	84.24222615696291	0.3719433206210864
01S-11251	dens_thelper_stroma	2019.4056288990357	0.1649000058406042
01S-11251	dens_thelper_tumour	67.21454214651297	0.3719433206210864
01S-11251	dens_treg_stroma	48.514249342919776	0.1649000058406042
01S-11251	dens_treg_tumour	2.6885816858605187	0.3719433206210864
01S-13687	dens_bcell_cd20neg_stroma	34.45317323878379	0.14512451336039844
01S-13687	dens_bcell_cd20neg_tumour	0	0.326402125612671
01S-13687	dens_bcell_cd20pos_stroma	13.781269295513516	0.14512451336039844
01S-13687	dens_bcell_cd20pos_tumour	0	0.326402125612671
01S-13687	dens_cd8tcell_foxp3pos_stroma	0	0.14512451336039844
01S-13687	dens_cd8tcell_foxp3pos_tumour	0	0.326402125612671
01S-13687	dens_tcyto_stroma	6.890634647756758	0.14512451336039844
01S-13687	dens_tcyto_tumour	30.63705538445733	0.326402125612671
01S-13687	dens_thelper_stroma	151.59396225064867	0.14512451336039844
01S-13687	dens_thelper_tumour	18.382233230674398	0.326402125612671
01S-13687	dens_treg_stroma	110.25015436410813	0.14512451336039844
01S-13687	dens_treg_tumour	12.254822153782932	0.326402125612671
01S-21442	dens_bcell_cd20neg_stroma	495.98112506717854	0.2621067484823985
01S-21442	dens_bcell_cd20neg_tumour	26.946733749283165	0.2226614941842297
01S-21442	dens_bcell_cd20pos_stroma	22.891436541562086	0.2621067484823985
01S-21442	dens_bcell_cd20pos_tumour	0	0.2226614941842297
01S-21442	dens_cd8tcell_foxp3pos_stroma	19.076197117968405	0.2621067484823985
01S-21442	dens_cd8tcell_foxp3pos_tumour	35.928978332377554	0.2226614941842297
01S-21442	dens_tcyto_stroma	68.67430962468626	0.2621067484823985
01S-21442	dens_tcyto_tumour	37.426019096226625	0.2226614941842297
01S-21442	dens_thelper_stroma	259.4362808043703	0.2621067484823985
01S-21442	dens_thelper_tumour	71.85795666475511	0.2226614941842297
01S-21442	dens_treg_stroma	164.0552952145283	0.2621067484823985
01S-21442	dens_treg_tumour	44.911222915471946	0.2226614941842297
02S-23322	dens_bcell_cd20neg_stroma	45.52817330443591	0.2855374827597878
02S-23322	dens_bcell_cd20neg_tumour	25.83256341456123	0.2709758179110579
02S-23322	dens_bcell_cd20pos_stroma	49.030340481700215	0.2855374827597878
02S-23322	dens_bcell_cd20pos_tumour	0	0.2709758179110579
02S-23322	dens_cd8tcell_foxp3pos_stroma	0	0.2855374827597878
