	w_0	w_1	w_2	w_3	w_4	w_5	w_6	w_7	w_8	w_9	alpha	beta_0	beta_1	beta_2	beta_3	beta_4	beta_5	beta_6	beta_7	beta_8	beta_9	theta_a_0	theta_a_1	theta_a_2	theta_a_3	theta_a_4	theta_a_5	theta_a_6	theta_a_7	theta_a_8	theta_a_9	theta_a_10	theta_a_11	theta_a_12	theta_a_13	theta_a_14	theta_a_15	theta_a_16	theta_a_17	theta_a_18	theta_a_19	theta_b_0	theta_b_1	theta_b_2	theta_b_3	theta_b_4	theta_b_5	theta_b_6	theta_b_7	theta_b_8	theta_b_9	theta_b_10	theta_b_11	theta_b_12	theta_b_13	theta_b_14	theta_b_15	theta_b_16	theta_b_17	theta_b_18	theta_b_19
262	0.6203069814955848	0.33762128785749046	0.014768131209060382	0.02131664038285283	0.005201626792373505	0.0002502646364594368	2.244743445882128e-06	0.0003595172088025665	0.0001013657423616889	7.193993156827581e-05	1.3032086078327263	0.6202827700408754	0.8891040052612044	0.35069730287958073	0.779611856499346	0.863198425129886	0.3035846713561256	0.003910017882571301	0.6286850636491617	0.477377829070468	0.6482659791840438	-0.995324873156544	1.617146831547445	0.2100659633716542	-1.742314824042836	0.4103879692871748	0.1773017314565664	1.8796499051613222	-0.43434024997952403	1.0778084120813347	-1.0611243589420367	0.1406176618447924	-0.8708274548666164	2.2111211393708	-0.32131435973053246	-0.044642749621890875	0.822588087596697	-0.26439423843635707	-1.593564654645639	0.7961197414273534	0.482336146956124	0.056826885227260794	-0.38743902827957605	-9.790906572114288	1.541305249419212	1.6825887075293364	0.5495895446372371	-0.3793233652626665	-2.061606149118653	0.6363049025248362	-0.9524240898406691	-2.026761872618573	0.3283067813055115	1.1115302702778904	0.3303016666042294	0.7493809777240871	-0.31265300662883977	0.5847837212569466	-0.1332021814297505	0.8653738298513162	0.22111940500386532
263	0.6145262136694408	0.34139617639516345	0.012337869469210666	0.025722474663775773	0.00497254851521132	0.00021150469088080474	3.4566011198024413e-06	0.0006191061936347508	0.00011008027657263384	0.00010056952498975209	1.2019868508773468	0.6144963085010623	0.8855416181344969	0.27960368660738294	0.8091778545511455	0.819750131678333	0.1934405479777538	0.0039195877455304295	0.7047934735404197	0.42450252944552	0.6738973523096352	-1.091186466569156	2.0956606862457883	0.2046341726922924	-1.605435501924172	0.010234452226283093	-0.2072053632280526	2.0688978738554145	-0.2377604539645083	1.0485586898568795	-1.3994768673164006	0.6162725703171548	-0.8981599883148011	2.159667695693623	-0.38946608323990667	-0.12046424771905494	1.0687770803146268	-0.07236025380535242	-1.438794750155764	1.0171993471914402	0.2131069149630482	0.5750253764264419	-0.16983959617804686	-9.816034417341932	1.6119635371662688	1.4564477511862384	0.7146185940936232	-0.5297032636309075	-1.9077291082986227	0.9671574153528972	-1.3167624307843329	-2.1000683290146736	0.3210873996929185	1.0094446747028747	0.5090231181471031	0.6581823441741981	-0.40207121867279816	0.4091788855327929	-0.1924410474303125	0.5785487968516898	0.16724545716148628
264	0.6140367629883194	0.3418472281932716	0.012500769155280143	0.025698681322553596	0.004934763397753012	0.00018562750470338854	3.5959153097600855e-06	0.0005816616998876646	0.000114534327028218	9.6375495893252e-05	1.2036225572917636	0.6140075634898107	0.8855898196000807	0.2830561645036657	0.8116365314063475	0.827409309472016	0.18033458657376267	0.004261961739062429	0.6923496261690579	0.4431321042048332	0.669594675386264	-1.0796111557335624	2.0866690881278194	0.20510762893847576	-1.5970481878558451	-0.016162393420114614	-0.22178072101086935	2.0399437052924125	-0.20977474123281076	1.0435321978510406	-1.3361192838883793	0.635525703441277	-0.863692354194979	2.1440215903454782	-0.4055348228500434	-0.13328884599836033	1.0936932341644319	-0.03631391447456162	-1.4424670692047499	0.9781015463092515	0.240307278275577	0.5715810054817249	-0.18199270051237812	-9.817775043120204	1.643069238246912	1.4353885128754396	0.6975770455166974	-0.5206088506415074	-1.9126911651320917	0.9755072645293478	-1.3771411981859754	-2.056574676717964	0.3411517317667662	1.0555058828935229	0.5132516660206644	0.6087554272205254	-0.4264160491337757	0.39512568073350174	-0.18842165815584647	0.6151077138804607	0.19121587275370175
265	0.5999995979255505	0.35119026021929717	0.01363002469675525	0.026351669983694932	0.00774101025702068	0.00014850478064449418	4.358602430599677e-06	0.0006885878815468316	0.00012493520743745256	0.00012105044562212495	1.2142723774200166	0.5999759669583675	0.877888325685395	0.2790205995697875	0.7482124172483035	0.8729313743314069	0.13179063843689756	0.004455197073236786	0.7069980706243109	0.43779743768670937	0.7545046924712817	-0.9359797334115736	1.8317677596745663	0.1893999590384936	-1.6054783550259901	-0.3605958411746833	-0.12004713413893035	1.865605053295714	0.11772100618685087	0.8459923732491198	-2.043194772110886	-0.5111522089834373	-0.9442820360786496	2.4553226517875593	-0.15044763250677745	-0.39942119535575676	1.0864786847606218	-0.15393160467511577	-1.021220251186745	0.43538597067664775	0.6041520688918369	0.8286122580729296	0.3788569189720408	-9.81649128514627	1.418706904709622	0.837979962676613	0.6568734746164838	-0.8827658477686802	-1.8101758563023702	1.3109329648008976	-0.6425016405495212	-1.758227000285709	0.8801557805257872	1.3596746400118036	0.34344411018515464	0.2820431947527671	0.3031911948608366	0.09913061604980607	-0.1593139600570304	0.4005268066893962	-0.819562387245159
266	0.5910835437405563	0.36776194868975626	0.008245104438764155	0.027545249975115548	0.00466251211813295	0.0001870369309734656	6.9193061059023344e-06	0.0003921705949549459	6.071398118433206e-05	5.480022445620045e-05	1.1198063507444003	0.5910592738193798	0.8992668737094927	0.20014541799718993	0.8359593736993713	0.8625951436789493	0.25183281528348644	0.012452278953426718	0.7146661841341688	0.3877605951835283	0.5716576515235656	-1.4298569126868883	1.6338055660668185	0.2151608852952497	-1.167529462741522	-1.0577691804208105	-0.535619524076653	1.3740393403843318	0.3999318146906041	0.19922331147509717	-1.677335198232468	-0.006065793512546469	-0.708794145294876	2.1972488451612695	-0.44751717470038066	0.7991077187210838	0.9803507132278909	-1.449580852278793	-0.5710619920653001	-0.22594319359027984	-0.548431351695499	1.213758031359901	0.2713082541923681	-9.814206406030666	0.8189709642378703	0.7414488374850169	1.3508671536155008	-0.8414588215616811	-1.7088964201154238	1.305821083379831	-0.7181746877514783	-2.3452726751111608	0.8263909214730784	1.8394594650781553	0.47051970306154756	0.963405736347691	-0.2756309476116693	-0.0579522182198341	-0.535993652947388	-0.46126034556339873	0.12833989080743038
